play_Id,character_chosen,boss_relic,br_picked_skipped,victory,floor_reached,Act
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Ectoplasm,Skipped,1,57,1
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Black Blood,Skipped,1,57,1
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Black Star,Picked,1,57,1
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Busted Crown,Skipped,1,57,2
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,Sozu,Skipped,1,57,2
02be86b6-8687-4d42-9102-c10b61a7b245,IRONCLAD,SlaversCollar,Picked,1,57,2
c499fd7e-f334-4232-a8ff-e6a41031c2ba,IRONCLAD,Pandora's Box,Skipped,1,57,1
c499fd7e-f334-4232-a8ff-e6a41031c2ba,IRONCLAD,Sozu,Skipped,1,57,1
c499fd7e-f334-4232-a8ff-e6a41031c2ba,IRONCLAD,Coffee Dripper,Picked,1,57,1
c499fd7e-f334-4232-a8ff-e6a41031c2ba,IRONCLAD,Black Blood,Skipped,1,57,2
c499fd7e-f334-4232-a8ff-e6a41031c2ba,IRONCLAD,Empty Cage,Skipped,1,57,2
c499fd7e-f334-4232-a8ff-e6a41031c2ba,IRONCLAD,Astrolabe,Picked,1,57,2
c8d23175-f597-4d40-aeea-b1dc82af0a29,IRONCLAD,Velvet Choker,Skipped,1,57,1
c8d23175-f597-4d40-aeea-b1dc82af0a29,IRONCLAD,Runic Dome,Skipped,1,57,1
c8d23175-f597-4d40-aeea-b1dc82af0a29,IRONCLAD,Runic Pyramid,Picked,1,57,1
c8d23175-f597-4d40-aeea-b1dc82af0a29,IRONCLAD,Fusion Hammer,Skipped,1,57,2
c8d23175-f597-4d40-aeea-b1dc82af0a29,IRONCLAD,Pandora's Box,Skipped,1,57,2
c8d23175-f597-4d40-aeea-b1dc82af0a29,IRONCLAD,SlaversCollar,Picked,1,57,2
0b9700cf-bcd7-4961-a7bc-964c228d4e6e,IRONCLAD,Black Star,Skipped,1,57,1
0b9700cf-bcd7-4961-a7bc-964c228d4e6e,IRONCLAD,Tiny House,Skipped,1,57,1
0b9700cf-bcd7-4961-a7bc-964c228d4e6e,IRONCLAD,Philosopher's Stone,Picked,1,57,1
0b9700cf-bcd7-4961-a7bc-964c228d4e6e,IRONCLAD,Empty Cage,Skipped,1,57,2
0b9700cf-bcd7-4961-a7bc-964c228d4e6e,IRONCLAD,Mark of Pain,Skipped,1,57,2
0b9700cf-bcd7-4961-a7bc-964c228d4e6e,IRONCLAD,Fusion Hammer,Picked,1,57,2
f6ef3240-6abc-4bf8-bc24-b1cdd636f029,IRONCLAD,Black Star,Skipped,1,57,1
f6ef3240-6abc-4bf8-bc24-b1cdd636f029,IRONCLAD,SacredBark,Skipped,1,57,1
f6ef3240-6abc-4bf8-bc24-b1cdd636f029,IRONCLAD,Snecko Eye,Picked,1,57,1
f6ef3240-6abc-4bf8-bc24-b1cdd636f029,IRONCLAD,Velvet Choker,Skipped,1,57,2
f6ef3240-6abc-4bf8-bc24-b1cdd636f029,IRONCLAD,Empty Cage,Skipped,1,57,2
f6ef3240-6abc-4bf8-bc24-b1cdd636f029,IRONCLAD,Philosopher's Stone,Picked,1,57,2
60928f51-ee59-4d6c-bffd-2916faf11475,IRONCLAD,Sozu,Skipped,1,57,1
60928f51-ee59-4d6c-bffd-2916faf11475,IRONCLAD,Runic Pyramid,Skipped,1,57,1
60928f51-ee59-4d6c-bffd-2916faf11475,IRONCLAD,Philosopher's Stone,Picked,1,57,1
60928f51-ee59-4d6c-bffd-2916faf11475,IRONCLAD,Empty Cage,Skipped,1,57,2
60928f51-ee59-4d6c-bffd-2916faf11475,IRONCLAD,Black Blood,Skipped,1,57,2
60928f51-ee59-4d6c-bffd-2916faf11475,IRONCLAD,Calling Bell,Picked,1,57,2
0bf7d587-6064-4aa0-ab5b-aad381615b2d,IRONCLAD,SacredBark,Skipped,1,57,1
0bf7d587-6064-4aa0-ab5b-aad381615b2d,IRONCLAD,Ectoplasm,Skipped,1,57,1
0bf7d587-6064-4aa0-ab5b-aad381615b2d,IRONCLAD,Astrolabe,Picked,1,57,1
0bf7d587-6064-4aa0-ab5b-aad381615b2d,IRONCLAD,Busted Crown,Skipped,1,57,2
0bf7d587-6064-4aa0-ab5b-aad381615b2d,IRONCLAD,Philosopher's Stone,Skipped,1,57,2
0bf7d587-6064-4aa0-ab5b-aad381615b2d,IRONCLAD,Snecko Eye,Picked,1,57,2
0f9132cc-10b2-4525-a5f4-2a783e3a5622,IRONCLAD,Velvet Choker,Skipped,1,57,1
0f9132cc-10b2-4525-a5f4-2a783e3a5622,IRONCLAD,Empty Cage,Skipped,1,57,1
0f9132cc-10b2-4525-a5f4-2a783e3a5622,IRONCLAD,Coffee Dripper,Picked,1,57,1
0f9132cc-10b2-4525-a5f4-2a783e3a5622,IRONCLAD,Black Star,Skipped,1,57,2
0f9132cc-10b2-4525-a5f4-2a783e3a5622,IRONCLAD,Black Blood,Skipped,1,57,2
0f9132cc-10b2-4525-a5f4-2a783e3a5622,IRONCLAD,Fusion Hammer,Picked,1,57,2
a4e275c7-22ac-4b65-aaeb-b1db27a69ff5,IRONCLAD,Ectoplasm,Skipped,1,57,1
a4e275c7-22ac-4b65-aaeb-b1db27a69ff5,IRONCLAD,SacredBark,Skipped,1,57,1
a4e275c7-22ac-4b65-aaeb-b1db27a69ff5,IRONCLAD,Mark of Pain,Picked,1,57,1
a4e275c7-22ac-4b65-aaeb-b1db27a69ff5,IRONCLAD,Sozu,Skipped,1,57,2
a4e275c7-22ac-4b65-aaeb-b1db27a69ff5,IRONCLAD,Black Blood,Skipped,1,57,2
a4e275c7-22ac-4b65-aaeb-b1db27a69ff5,IRONCLAD,Cursed Key,Picked,1,57,2
7f5f4f7b-0cd7-45cd-b048-33102f1d6f5a,IRONCLAD,Ectoplasm,Skipped,0,23,1
7f5f4f7b-0cd7-45cd-b048-33102f1d6f5a,IRONCLAD,Pandora's Box,Skipped,0,23,1
